review,class,segmenter
Very good response time,Appointment Availability & Access,sentence_transformer
More doctors available to come out to elderly patients who cant make it into the surgery.,Appointment Availability & Access,spacy
Appointment was on time.,Appointment Availability & Access,spacy
It’s not too long it’s like other surgery,Appointment Availability & Access,spacy
Seen on time,Appointment Availability & Access,spacy
doctor was on time for calls,Appointment Availability & Access,spacy
if on the phone or face to face.,Appointment Availability & Access,spacy
Whilst I appreciate how busy & many patients are always need to be seen. I would very much like to be seen ON TiME! As most visits usually run 20-30 mins over this!,Appointment Availability & Access,sentence_transformer
I have next patient to attend to,Appointment Availability & Access,sentence_transformer
The doctor rang me exactly on time,Appointment Availability & Access,sentence_transformer
Also recently when she is not available for urgent issues,Appointment Availability & Access,sentence_transformer
Dealt with quickly on the same day,Appointment Availability & Access,sentence_transformer
More info on call about waiting time,Appointment Availability & Access,sentence_transformer
but I called at an atypical time deliberately to avoid the appointment rush,Appointment Availability & Access,sentence_transformer
It was very fast I didn’t wait more than 2 minutes,Appointment Availability & Access,sentence_transformer
Efficient. quick and knowledgeable,Appointment Availability & Access,sentence_transformer
To be able to call for same day appointment when required during day,Appointment Availability & Access,sentence_transformer
May not need one at 8am but could be having a eg bleed at 10am. etc so would need GP appointment,Appointment Availability & Access,sentence_transformer
maybe if possible to get in touch with the Doctor straight away.,Appointment Availability & Access,sentence_transformer
I have to explain 3 times what I needed. It took too long to solve the question,Appointment Availability & Access,sentence_transformer
From my experience most of the time I don't wait longer to get a respond from The reception!,Appointment Availability & Access,sentence_transformer
polite and able to see someone on the day,Appointment Availability & Access,sentence_transformer
Through the reception department when booking an appointment and taking care of the appointment and meeting the doctor with his nice smile,Appointment Availability & Access,sentence_transformer
I was given a prompt appointment and found all the professionals very pleasant and welcoming. I felt at ease speaking with them and not rushed,Appointment Availability & Access,sentence_transformer
I was not kept hanging on the phone for ages. The staff member who took my call was very sympathetic and helpful and proactive,Appointment Availability & Access,sentence_transformer
Reasonable waiting time,Appointment Availability & Access,sentence_transformer
It's been over 2 weeks and the doctor STILL has not contacted me,Appointment Availability & Access,sentence_transformer
nor the staff to give me n appointment,Appointment Availability & Access,sentence_transformer
I did not need to wait for long and could sit down at the waiting room,Appointment Availability & Access,sentence_transformer
The ability to book a f to f and sometimes on a phone call the 10 minute duration can feel a bit rushed. .,Appointment Availability & Access,sentence_transformer
the waiting time for getting an appointment,Appointment Availability & Access,sentence_transformer
I got timely appointment with a very good doctor,Appointment Availability & Access,sentence_transformer
Just answering the calls could improve like the waiting times to be answered as sometimes it's a long wait.,Appointment Availability & Access,sentence_transformer
but this was after a long wait,Appointment Availability & Access,sentence_transformer
No- I am very glad indeed I got the appointment,Appointment Availability & Access,sentence_transformer
I was late but they managed to still see me,Appointment Availability & Access,sentence_transformer
Waiting time for appointments is not too long,Appointment Availability & Access,sentence_transformer
Visit appointments all went well No time wasted waiting. professionally attended to by staff,Appointment Availability & Access,sentence_transformer
Shorter span between booking and having the appointment,Appointment Availability & Access,sentence_transformer
Other than a waitlist,Appointment Availability & Access,sentence_transformer
all is Good here,Appointment Availability & Access,sentence_transformer
Very fast response from the surgery which was very much appreciated.,Appointment Availability & Access,sentence_transformer
Personal at desk helpful and polite. Easy to book appointments and prescriptions,Appointment Availability & Access,sentence_transformer
Seen on time.,Appointment Availability & Access,sentence_transformer
I have always found it easy to make a suitable appointment. The admin staff are very polite and try their best to please the patients. The medical staff are experienced,Appointment Availability & Access,sentence_transformer
The staff and doctors are very caring,Clinical Staff Profesionalism & Attitude,sentence_transformer
Dr Chua is delightful,Clinical Staff Profesionalism & Attitude,spacy
I felt I was in good hands and that Dr May understood me.,Clinical Staff Profesionalism & Attitude,spacy
The doctor was very professional and helpful.,Clinical Staff Profesionalism & Attitude,spacy
the nurse was thorough and kind,Clinical Staff Profesionalism & Attitude,spacy
and the doctor was knowledgeable and reassuring.,Clinical Staff Profesionalism & Attitude,spacy
I have been (20) years with this surgery all the DOCTORS very class people good Treatment AND ALOTof,Clinical Staff Profesionalism & Attitude,sentence_transformer
Experience I feel comfortable with them all the time with many Thanks 🙏👍,Clinical Staff Profesionalism & Attitude,sentence_transformer
Shis very good and she no how to assist the patients .,Clinical Staff Profesionalism & Attitude,sentence_transformer
Doctor completely unempathetic,Clinical Staff Profesionalism & Attitude,sentence_transformer
Most grateful to her.,Clinical Staff Profesionalism & Attitude,spacy
Always super helpful GP’s and Nurses,Clinical Staff Profesionalism & Attitude,spacy
The doctor was very thorough and courteous- he listened,Clinical Staff Profesionalism & Attitude,sentence_transformer
The nurse is absolutely brilliant,Clinical Staff Profesionalism & Attitude,sentence_transformer
nurses and GPs are friendly and welcoming,Clinical Staff Profesionalism & Attitude,sentence_transformer
The same has to be said for Doctor Robertson she was so lovely throughout the whole process and put me completely at ease I have never been a fan of going to the doctor but this whole experience has changed my experience completely 10/10,Clinical Staff Profesionalism & Attitude,sentence_transformer
Transparency and trust from the practice and to see a qualified doctor or resident,Clinical Staff Profesionalism & Attitude,sentence_transformer
My last visit was really stressful as my Gp wasn't showing any care,Clinical Staff Profesionalism & Attitude,sentence_transformer
The last Gp was the worst one I had for the past 12 years,Clinical Staff Profesionalism & Attitude,sentence_transformer
Dr Chua is thorough and empathetic,Clinical Staff Profesionalism & Attitude,sentence_transformer
The doctor was very polite and kind. The receptionists were kind and polite and tried to help me,Clinical Staff Profesionalism & Attitude,sentence_transformer
Professional and competent doctor. very helpful receptionist,Clinical Staff Profesionalism & Attitude,sentence_transformer
Urgent appointment and doctor was attentive and reassuring,Clinical Staff Profesionalism & Attitude,sentence_transformer
The doctor took the time on the call to understand and consider my health issues.,Clinical Staff Profesionalism & Attitude,sentence_transformer
kind and very professional,Clinical Staff Profesionalism & Attitude,sentence_transformer
I know it’s tough for the doctors ie there’s a shortage it’s really distressing when unwell to get assistance,Clinical Staff Profesionalism & Attitude,sentence_transformer
Because the GP was able to explain very professionally why I cannot obtain Mountjaro regardless of my huge BMI and the impossibility to exercise as I have MS,Clinical Staff Profesionalism & Attitude,sentence_transformer
Scudder always takes such very great trouble and care,Clinical Staff Profesionalism & Attitude,sentence_transformer
please thank Dr,Clinical Staff Profesionalism & Attitude,sentence_transformer
We like Tim Rees and he is always very responsive and caring,Clinical Staff Profesionalism & Attitude,sentence_transformer
Doctor spent time discussing my situation,Clinical Staff Profesionalism & Attitude,sentence_transformer
Dr who attended me was attentive and listen to my request and was pleasing as a patient.,Clinical Staff Profesionalism & Attitude,spacy
Thanks for a great communication from the doctor,Clinical Staff Profesionalism & Attitude,spacy
The doctor was sympathetic and thorough,Clinical Staff Profesionalism & Attitude,sentence_transformer
My regular GP Dr Stott is amazing,Clinical Staff Profesionalism & Attitude,sentence_transformer
so empathetic. so caring and kind,Clinical Staff Profesionalism & Attitude,sentence_transformer
it's been Dr Baker,Clinical Staff Profesionalism & Attitude,sentence_transformer
who I haven't met but has been wonderful,Clinical Staff Profesionalism & Attitude,sentence_transformer
Dr Mathias was very friendly and understanding. She was very knowledgeable and made me feel very comfortable during the appointment,Clinical Staff Profesionalism & Attitude,sentence_transformer
the doctors always treat me with respect. and from a medical point of view they do everything to make me feel good and take care of my health,Clinical Staff Profesionalism & Attitude,sentence_transformer
My GP Very good,Clinical Staff Profesionalism & Attitude,sentence_transformer
Very good nurse. efficient receptionist,Clinical Staff Profesionalism & Attitude,sentence_transformer
the actual appointment with the GP was amazing. Such a shame that the most forward facing people can really put off patients,Clinical Staff Profesionalism & Attitude,sentence_transformer
I felt listened to,Clinical Staff Profesionalism & Attitude,sentence_transformer
and that the dr really cared about my situation. Also I was helped,Clinical Staff Profesionalism & Attitude,sentence_transformer
The doctors and nurses are all blessed with a 'can do' attitude,Clinical Staff Profesionalism & Attitude,sentence_transformer
Dr Mathias was very friendly and understanding. She was very knowledgeable and made me feel very comfortable during the appointment,Clinical Staff Profesionalism & Attitude,sentence_transformer
It's not enough words to express my gratitude to Dr Will for kind attitude and personalised approach in medical care. As a patient with chronic pain,Clinical Staff Profesionalism & Attitude,sentence_transformer
My gp dr tobi is always very helpful,Clinical Staff Profesionalism & Attitude,sentence_transformer
My consultations with Dr William Squier have been excellent. Similarly most face to face meetings with various clinical professionals have been very good,Clinical Staff Profesionalism & Attitude,sentence_transformer
and with Dr Faal-Omisore,Clinical Staff Profesionalism & Attitude,sentence_transformer
The Dr was very helpful,Clinical Staff Profesionalism & Attitude,sentence_transformer
Nurse Debbie and Dr Baker are wonderful,Clinical Staff Profesionalism & Attitude,sentence_transformer
Dr Peacock is amazing,Clinical Staff Profesionalism & Attitude,sentence_transformer
always taking the time to listen and provide great medical advice- thank you!,Clinical Staff Profesionalism & Attitude,sentence_transformer
Dr Pumphrey saw me urgently and she was excellent and attentive as always,Clinical Staff Profesionalism & Attitude,sentence_transformer
The only one I find terrible is Maria Pankhurst with her negative,Clinical Staff Profesionalism & Attitude,sentence_transformer
She is consistently attentive to both my own medical concerns and those of my daughter,Clinical Staff Profesionalism & Attitude,sentence_transformer
"Her approach is always patient, kind, cheerful, and reassuring.",Clinical Staff Profesionalism & Attitude,sentence_transformer
The Doctor was very caring and thoughtful.,Clinical Staff Profesionalism & Attitude,sentence_transformer
so I’m grateful to her as well: I appreciate how busy you all are but I was seen and treated very quickly. while during the consultation I was given a lot of time,Clinical Treatment Quality,sentence_transformer
It wpupd have been much easier with the doctor referral,Clinical Treatment Quality,sentence_transformer
I felt heard and understood throughout my appointment.,Clinical Treatment Quality,spacy
I find the staff and the doctors helpful and competent which is a relief whenever I suffer from an illness.,Clinical Treatment Quality,spacy
Very thorough and detailed treatment not concluded yet,Clinical Treatment Quality,sentence_transformer
which was handled professionally,Clinical Treatment Quality,spacy
Dr Aziz was not only quick in dealing with the matter but managed to pret results processed and provide feedback within 24 hours.,Clinical Treatment Quality,spacy
answered all my questions,Clinical Treatment Quality,sentence_transformer
My health concerned was treated very quicky and I was reffered to the Chelsea and Westmister Hospital for further treatemetn,Clinical Treatment Quality,sentence_transformer
Was given time to discuss my health poroblem with understanding and a referal,Clinical Treatment Quality,sentence_transformer
Reassured and completely comfortable with her response,Clinical Treatment Quality,sentence_transformer
Symptoms to be taken seriously,Clinical Treatment Quality,sentence_transformer
my feet are Are now fixed,Clinical Treatment Quality,sentence_transformer
With more proactive intervention regarding my ailment.,Clinical Treatment Quality,sentence_transformer
Speedy reaction I found out I have cancer on time thanks to them,Clinical Treatment Quality,sentence_transformer
none of the doctor are seeing recently have experience at all especially the last one,Clinical Treatment Quality,sentence_transformer
My baby was ill and you got her a same day appointment which was crucial have access to paediatricians at the surgery or be able to refer onto a paediatrician,Clinical Treatment Quality,sentence_transformer
saw usual GP who addressed my health need and referred as appropriate .,Clinical Treatment Quality,spacy
I have always received attention when needed,Clinical Treatment Quality,spacy
Wrong medical advice and diagnosis from Dr,Clinical Treatment Quality,sentence_transformer
Lack of care,Clinical Treatment Quality,sentence_transformer
I got the answer to my problems that I needed to know,Clinical Treatment Quality,sentence_transformer
The same happened at the appointment I had today. I received what the doctor considered necessary for my health,Clinical Treatment Quality,sentence_transformer
Saw family gp who examined and diagnosed issue with treatment and to follow up if doesn’t clear it Good doctor and reception team,Clinical Treatment Quality,sentence_transformer
Always feel that nothing is left unattended and any suspicious Symptoms are Investigated,Clinical Treatment Quality,sentence_transformer
I was told I had a virus but it turned out I had a bleeding on my brain for which I was hospitalised.,Clinical Treatment Quality,sentence_transformer
Together. we agreed a plan for going forward,Clinical Treatment Quality,sentence_transformer
dysphonia and tinnitus I am deeply touched by Dr Will attention to my reduced voice. impaired speech and understanding of my health challenges,Clinical Treatment Quality,sentence_transformer
I think she was new so didn't get the best,Clinical Treatment Quality,sentence_transformer
Very happy with how the consultation went,Clinical Treatment Quality,sentence_transformer
Was easy and had a lot of attention,Clinical Treatment Quality,sentence_transformer
No nothing else could have made it better,Clinical Treatment Quality,sentence_transformer
Very thorough gp,Clinical Treatment Quality,sentence_transformer
I'm happy the staff they done their job well .,Clinical Treatment Quality,sentence_transformer
Given good advice to go to A&E.,Clinical Treatment Quality,sentence_transformer
The doctor was very thorough and courteous- he listened,Clinical Treatment Quality,sentence_transformer
answered all my questions,Clinical Treatment Quality,sentence_transformer
The doctor took the time to understand my specific needs and provided personalized guidance.,Clinical Treatment Quality,llm
Always prompt answers to my questions.,Clinical Treatment Quality,sentence_transformer
"The doctor I have seen for the 1st time, she didn’t have a look at it properly . I have wart under my foot. She immediately suggested antibiotics. I believe it wasn’t necessary.",Clinical Treatment Quality,llm
She said she would give an ointment but she didn’t.,Clinical Treatment Quality,llm
Dr. Grimstone carefully assesses each situation and makes thoughtful decisions regarding specialist referrals.,Clinical Treatment Quality,sentence_transformer
Given full explanation.,Clinical Treatment Quality,sentence_transformer
She gave me some information as well as suggestions on how to improve my condition.,Clinical Treatment Quality,sentence_transformer
empathetic and understood my health concerns,Clinical Treatment Quality,sentence_transformer
listen attentively and give good advice,Clinical Treatment Quality,sentence_transformer
I was treated almost immediately for a painful uti.,Clinical Treatment Quality,sentence_transformer
Sometimes given I don’t have the same GP,Continuity of Care,sentence_transformer
my diabetes but N,Continuity of Care,sentence_transformer
Not from my side but I have noticed the massive changes to the building it’s a great work accomplished and the place is much more comfortable and private.,Facilities & Cleanliness,sentence_transformer
"and yet that place is more like a funeral home than a GP. Perhaps the GP is giving advice to ""them""",Facilities & Cleanliness,sentence_transformer
It would be perfect if the clinic has own children's service like baby's scale,Facilities & Cleanliness,sentence_transformer
The machine which measures height and weight gave two slightly different readings! But not sure what can be done about that!,Facilities & Cleanliness,sentence_transformer
"The surgery is clean, tidy, and well-organised.",Facilities & Cleanliness,sentence_transformer
"The waiting area is comfortable and calm, contributing positively to an overall reassuring atmosphere.",Facilities & Cleanliness,sentence_transformer
Long long long wait with no apology,Feedback & Complaints Process,sentence_transformer
Fast and efficient flu jab. On time,Nursing & HCA Services,sentence_transformer
the nurse was brilliant,Nursing & HCA Services,sentence_transformer
No bruising from injection,Nursing & HCA Services,sentence_transformer
The conversation an the advices I received from the 2 nurses were very worthwhile,Nursing & HCA Services,spacy
The nurse was helpful and explained everything,Nursing & HCA Services,spacy
The electrocardiogram was done very well.,Nursing & HCA Services,sentence_transformer
No …it was only for a flu jab,Nursing & HCA Services,sentence_transformer
More flexibility for timing of blood tests as mornings are the only option,Nursing & HCA Services,sentence_transformer
The nurse carrying out the smear test was extremely caring,Nursing & HCA Services,sentence_transformer
Your form is hopeless and will give the wrong result. Why? Because of your form's yes/no only flu' choice. I am soon to have both my Covid jab and my flu jab. both of which have had to wait until I had my annual Ultrasound of chest wall and axillae post breast cancer 2022,Nursing & HCA Services,sentence_transformer
I was in and out very quickly having had inoculation,Nursing & HCA Services,sentence_transformer
It's a Very good Surgery,Overall Experience,sentence_transformer
but doctors and other staff are all Very good,Overall Experience,llm
My experience with the Doctors and Nurses at Stanhope clinic is generally very good.,Overall Experience,spacy
They are helpful,Overall Experience,spacy
No my issues were met adequately,Overall Experience,spacy
a precious resource,Overall Experience,sentence_transformer
My profound thanks to everyone,Overall Experience,sentence_transformer
professional warm knowledgeable and personable.,Overall Experience,spacy
The staff were all friendly and professional.,Overall Experience,spacy
Fantastic experience at this GP surgery!,Overall Experience,spacy
Highly recommend!,Overall Experience,spacy
Friendly and efficient practice quick to refer me for hospital examination.,Overall Experience,spacy
I'm happy and thanks the staff they done their job well and very helpful.,Overall Experience,spacy
please and satisfy the patients.,Overall Experience,llm
I was dealt with efficiently and courteously,Overall Experience,spacy
Thank you!!,Overall Experience,spacy
"Good doctor, nice premises, helpful staff",Overall Experience,sentence_transformer
I would suggest you would need to involve more,Overall Experience,spacy
Especially comforting just before the weekend.,Overall Experience,spacy
Everything is very good,Overall Experience,sentence_transformer
I’m so pleased,Overall Experience,sentence_transformer
The whole experience was very professional,Overall Experience,sentence_transformer
Very happy with the service at my surgery,Overall Experience,sentence_transformer
Had a great experience so far!,Overall Experience,sentence_transformer
For me the surgery is a guardian angel!! all this years! That I have been taken care !!!. safely and lovingly! Through difficulties in my health. Very grateful!!! Thank you ! God bless!!!,Overall Experience,sentence_transformer
A doctor’s surgery is meant to be a place of utmost trust. support and care,Overall Experience,sentence_transformer
i went home and had to come back to the surgery. I am a 63 years old with 2 knees surgery,Overall Experience,sentence_transformer
As i was unhappy as she just wasted my time,Overall Experience,sentence_transformer
Thank you Doctor Emiliani,Overall Experience,sentence_transformer
Thank you Guy Everett,Overall Experience,sentence_transformer
Each occasion I have a problem my experience has been Very good. I have no issues,Overall Experience,sentence_transformer
I feel like if I wasn’t on top on my own health,Overall Experience,sentence_transformer
It’s the whole NHS that is too burdened,Overall Experience,sentence_transformer
No as everything was satisfactory as it is,Overall Experience,sentence_transformer
I am satisfied with all the services provided.,Overall Experience,sentence_transformer
I have no complaints at all regarding my gp surgery - The-Chelsea-Practice,Overall Experience,sentence_transformer
Very good service all round!,Overall Experience,sentence_transformer
Because the people are so nice and kind,Overall Experience,sentence_transformer
Service was great at clinic,Overall Experience,sentence_transformer
All was good,Overall Experience,sentence_transformer
I was very happy,Overall Experience,sentence_transformer
I require low input and am satisfied,Overall Experience,sentence_transformer
Not much based on my latest appointments at the clinic,Overall Experience,spacy
Thanks,Overall Experience,spacy
I am confident now and sure I will have a result after my next visit in the lungs Hospital,Overall Experience,sentence_transformer
Train your GP! No wonder THERE WAS ALWAYS NO ONE in that practice. and yet your GP always give me the same reasons,Overall Experience,sentence_transformer
Everyone at Stanhope mews west is helpful,Overall Experience,sentence_transformer
just keep doing the great work you are doing,Overall Experience,sentence_transformer
I have been attended very well anytime that I have need it their services,Overall Experience,sentence_transformer
The doc rang me as scheduled on time. The nurse took my blood very well and referred me back to doc for in house visit shortly,Overall Experience,sentence_transformer
All very efficient!,Overall Experience,sentence_transformer
I have been a member of this GP Surgery for over 15 years,Overall Experience,sentence_transformer
I am very satisfied,Overall Experience,sentence_transformer
At the VM Hub lovely people all round,Overall Experience,sentence_transformer
But so many different people,Overall Experience,sentence_transformer
and methods of communication,Overall Experience,sentence_transformer
and my friends of similar and younger age find they just give up on attending to health matters,Overall Experience,sentence_transformer
It went well,Overall Experience,sentence_transformer
On the whole,Overall Experience,sentence_transformer
Very good commitment and engagement to support patients - really grateful,Overall Experience,sentence_transformer
However I have not been to the Chelsea Surgery recently,Overall Experience,sentence_transformer
Not that I can think of.,Overall Experience,sentence_transformer
Thank you everyone for your hard work. Very grateful,Overall Experience,sentence_transformer
However my GP and I are familiar and are known well to each other,Overall Experience,sentence_transformer
consequently they might not not be as satisfactory to unfamiliar patients and doctors,Overall Experience,sentence_transformer
Very professional and kind service,Overall Experience,sentence_transformer
The best clinic I have ever attended,Overall Experience,sentence_transformer
Always very pleasant staff and doctors,Overall Experience,sentence_transformer
Thank you Stanhope Mews Wesg surgery,Overall Experience,sentence_transformer
I Will have more input as my relationship with EGS matures,Overall Experience,sentence_transformer
I'm new to the surgery,Overall Experience,sentence_transformer
In the last 2 weeks I went to an MSK physio referral from GP,Overall Experience,sentence_transformer
I did not interact with the surgery directly,Overall Experience,sentence_transformer
I will answer this questionnaire based on the MSK appmt then,Overall Experience,sentence_transformer
I answered neither good nor bad as Maria was pleasant but I came away thinking she had no real idea of my problem and was just there to refer me to an available 6 week exercise class,Overall Experience,sentence_transformer
good and friendly,Overall Experience,sentence_transformer
I am happy as it is.,Overall Experience,sentence_transformer
The staff at the Covid area was fantastic: they were extremely kind,Overall Experience,sentence_transformer
friendly and helpful,Overall Experience,sentence_transformer
your staff were efficient and kind,Overall Experience,sentence_transformer
"I was a bit nervous about visiting a new GP surgery, but my experience here exceeded expectations!",Overall Experience,llm
"The staff were friendly, efficient, and put me at ease throughout.",Overall Experience,llm
Can't praise this practice enough – I'll be back!,Overall Experience,llm
…thanking all it is quite easy to get help.,Overall Experience,sentence_transformer
Always very friendly and very professional.,Overall Experience,sentence_transformer
I find that the service at this surgery is fantastic. The staff are brilliant and very helpful,Overall Experience,sentence_transformer
Can’t ask for anymore and anyone who does needs a reality check,Overall Experience,sentence_transformer
but lacking a certain warmth,Overall Experience,sentence_transformer
I always feel well cared for at my GP Surgery.,Overall Experience,sentence_transformer
Very good surgery. Very happy with ny care always,Overall Experience,sentence_transformer
I was professionally and efficiently dealt with when I was seen,Overall Experience,sentence_transformer
everyone does an excellent job,Overall Experience,sentence_transformer
"The receptionist was great, very helpful, but the gp I have seen Dr. Nalliah wasnt helpful at all.",Overall Experience,llm
Otherwise I have been very pleased with all other gps in the last 7 years.,Overall Experience,llm
I appreciate all GPs from my surgery who call back the same day and help with my concerns/referral requests,Overall Experience,sentence_transformer
Wish she was not part of my local team of lovely GPs,Overall Experience,sentence_transformer
Abingdon the best in the UK,Overall Experience,sentence_transformer
Always friendly and efficient service,Overall Experience,sentence_transformer
Because of care and treaty I have received,Overall Experience,sentence_transformer
I think if they are trained to understand they may as well be nice since you only have one life,Overall Experience,sentence_transformer
that might help,Overall Experience,sentence_transformer
They really are rude for no reason,Overall Experience,sentence_transformer
Very professional advise and leiseng your healt problems and give options,Overall Experience,sentence_transformer
Feedback: I would like to express my sincere appreciation for Dr. Grimstone’s outstanding care.,Overall Experience,sentence_transformer
"Thanks to her expertise, my health has significantly stabilised.",Overall Experience,sentence_transformer
"I would also like to acknowledge the duty doctors, who responded swiftly and efficiently to my concerns. Their prompt actions were greatly reassuring.",Overall Experience,sentence_transformer
I am truly grateful for the high standard of care and attention we have received.,Overall Experience,sentence_transformer
"Been using this practice for over 20 years, and I love it.",Overall Experience,sentence_transformer
"Been using this practice for over 20 years, and I love it.",Overall Experience,sentence_transformer
Can we always see the doctor please.,Overall Experience,sentence_transformer
Friendly staff.,Overall Experience,sentence_transformer
Very grateful patient. Thank you.,Overall Experience,sentence_transformer
Efficient and friendly,Overall Experience,llm
I find the entire staff of the surgery is very caring and competent.,Overall Experience,llm
Call from the GP surgery for the review & update of my medication,Prescription & Medication Management,spacy
Appointments and delivery of prescriptions all on time.,Prescription & Medication Management,sentence_transformer
Not sure why prescription request did not go through in the first place,Prescription & Medication Management,sentence_transformer
It takes several days for you to read the requests and after read it you are not able to full fill it,Prescription & Medication Management,sentence_transformer
Doctor called back accordingly and I received prescription the same day.,Prescription & Medication Management,spacy
Only asked for prescription renewals,Prescription & Medication Management,sentence_transformer
A telephone appointment was made by the receptionist in Earl's Court for a conversation with the Violet Melchett pharmacist who rang as arranged. The pharmacist listened and understood my concerns with regard to the side effects of a certain medication,Prescription & Medication Management,sentence_transformer
It’s been easy to get repeat prescriptions but trying to get a new medication added has been very difficult,Prescription & Medication Management,sentence_transformer
I have often sent through requests and nothing has happened,Prescription & Medication Management,sentence_transformer
Not sure if this has anything to do with the surgery or the NHS,Prescription & Medication Management,sentence_transformer
but the availability of the prescriptions should the medicine not be available from the original collection point,Prescription & Medication Management,sentence_transformer
"The next day when I called the reception, the lady said that there was nothing relating to antibiotic or ointment. So I couldn’t ask for prescription.",Prescription & Medication Management,llm
"The report said nothing about her suggestion of freezing as well. And falsely written that I would go ahead and use acid, which I didnt say. I said I will let it heal a bit and comeback for freezing.",Prescription & Medication Management,llm
A most recently issued medication is missing from the list of repeats on the app,Prescription & Medication Management,sentence_transformer
Exceptional service from front desk,Reception Staff Profesionalism & Attitude,spacy
"THEVRCEPION STAFF WERE [AS ALWAYS] FRIENDLY, HELPFUL, AND COURTIOUS",Reception Staff Profesionalism & Attitude,llm
Very efficient reception.,Reception Staff Profesionalism & Attitude,spacy
Very efficient doctor.,Reception Staff Profesionalism & Attitude,spacy
Not really: the receptionist who took my call was sensitive to my alarm that the earliest available appointment was some time away and managed to find me a spot within less than a week,Reception Staff Profesionalism & Attitude,sentence_transformer
The reception staff are always helpful and pleasant.,Reception Staff Profesionalism & Attitude,spacy
The staff are all very helpful and delightful.,Reception Staff Profesionalism & Attitude,spacy
Very nice welcome from the reception team.,Reception Staff Profesionalism & Attitude,spacy
I feel that the receptionists don’t always pass on your requests as I do not always receive the call back as arranged.,Reception Staff Profesionalism & Attitude,spacy
The reception staff were efficient and friendly,Reception Staff Profesionalism & Attitude,spacy
